model,n,delta,replications,alpha,calibration,test_engine,critical_value,power,mcse
Model 3,200,0.0,5000,0.05,empirical,direct-moment,27.08329714240967,0.049,0.0030528347482299137
Model 3,200,0.05000000000000093,5000,0.05,empirical,direct-moment,27.08329714240967,0.0576,0.0032949124419322587
Model 3,200,0.10000000000000098,5000,0.05,empirical,direct-moment,27.08329714240967,0.1028,0.0042949309656850135
Model 3,200,0.15000000000000102,5000,0.05,empirical,direct-moment,27.08329714240967,0.1752,0.005375964285595654
Model 3,200,0.20000000000000107,5000,0.05,empirical,direct-moment,27.08329714240967,0.2818,0.00636221282259561
Model 3,200,0.2500000000000011,5000,0.05,empirical,direct-moment,27.08329714240967,0.4456,0.0070290915486995904
Model 3,200,0.30000000000000115,5000,0.05,empirical,direct-moment,27.08329714240967,0.6144,0.006883496785791361
Model 3,200,0.3500000000000012,5000,0.05,empirical,direct-moment,27.08329714240967,0.767,0.005978478067200715
Model 3,200,0.40000000000000124,5000,0.05,empirical,direct-moment,27.08329714240967,0.8752,0.004673862642397613
Model 3,200,0.4500000000000013,5000,0.05,empirical,direct-moment,27.08329714240967,0.9452,0.003218600938296016
Model 3,200,0.5000000000000013,5000,0.05,empirical,direct-moment,27.08329714240967,0.9726,0.00230864635663412
Model 3,200,0.5500000000000014,5000,0.05,empirical,direct-moment,27.08329714240967,0.9924,0.00122818891055082
Model 3,200,0.6000000000000014,5000,0.05,empirical,direct-moment,27.08329714240967,0.997,0.0007734339015067807
Model 3,200,0.6500000000000015,5000,0.05,empirical,direct-moment,27.08329714240967,0.999,0.0004469899327725404
Model 3,200,0.7000000000000015,5000,0.05,empirical,direct-moment,27.08329714240967,0.9998,0.00019997999899988897
Model 3,200,0.7500000000000016,5000,0.05,empirical,direct-moment,27.08329714240967,0.9996,0.0002827861382741226
Model 3,200,0.8000000000000016,5000,0.05,empirical,direct-moment,27.08329714240967,1.0,0.0
